image,label,size,width,height,mode,format
i - 645.jpeg,sculpture,15311,201,320,RGB,JPEG
i - 123.jpeg,engraving,19801,188,320,RGB,JPEG
1468.jpg,painting,14564,290,361,RGB,JPEG
0548.jpg,painting,17526,290,376,RGB,JPEG
i - 62.jpeg,iconography,23719,274,320,RGB,JPEG
0837.jpg,painting,12665,290,403,RGB,JPEG
1664.jpg,painting,14272,290,365,RGB,JPEG
i - 862.jpeg,sculpture,11665,338,320,RGB,JPEG
i - 211.jpeg,iconography,23129,427,320,RGB,JPEG
1272.jpg,painting,10540,290,244,RGB,JPEG
i - 1304.jpeg,sculpture,13141,236,320,RGB,JPEG
1601.jpg,painting,8679,290,206,RGB,JPEG
1162.jpg,painting,15674,290,406,RGB,JPEG
1144.jpg,painting,16074,290,330,RGB,JPEG
i - 1107.jpeg,iconography,25277,480,190,RGB,JPEG
i - 609.jpeg,sculpture,21123,320,320,RGB,JPEG
208.jpg,iconography,290376,605,800,RGB,JPEG
i - 1290.jpeg,iconography,18361,209,320,RGB,JPEG
i - 59.jpeg,iconography,27728,427,320,RGB,JPEG
0959.jpg,painting,9412,290,365,RGB,JPEG
297.jpg,iconography,219431,500,606,RGB,JPEG
1764.jpg,painting,14272,290,365,RGB,JPEG
1436.jpg,painting,11490,290,368,RGB,JPEG
i - 1200.jpeg,iconography,25213,320,320,RGB,JPEG
i - 143.jpeg,drawings,22168,427,320,RGB,JPEG
i - 501.jpeg,sculpture,34978,320,320,RGB,JPEG
0858.jpg,painting,21171,290,415,RGB,JPEG
1037.jpg,painting,14560,290,374,RGB,JPEG
269.jpg,sculpture,25070,303,410,RGB,JPEG
i - 135.jpeg,sculpture,9596,211,320,RGB,JPEG
i - 570.jpeg,iconography,29266,306,320,RGB,JPEG
i - 5.jpeg,engraving,24975,247,320,RGB,JPEG
i - 774.jpeg,iconography,27418,268,320,RGB,JPEG
1639.jpg,painting,14272,290,365,RGB,JPEG
i - 117.jpeg,engraving,24675,407,320,RGB,JPEG
96.jpg,iconography,489591,590,800,RGB,JPEG
173.jpg,iconography,80353,1100,588,RGB,JPEG
download (30).jpeg,drawings,13293,260,194,RGB,JPEG
i - 1467.jpeg,sculpture,40580,480,270,RGB,JPEG
images (38).jpeg,drawings,5996,166,304,RGB,JPEG
1657.jpg,painting,9176,290,178,RGB,JPEG
228.png,engraving,20972,600,442,RGB,PNG
i - 964.jpeg,drawings,11776,250,320,RGB,JPEG
i - 656.jpeg,drawings,38233,480,238,RGB,JPEG
i - 283.jpeg,sculpture,13454,242,320,RGB,JPEG
1658.jpg,painting,9602,290,217,RGB,JPEG
i - 390.jpeg,iconography,16974,240,320,RGB,JPEG
276.jpg,sculpture,42013,600,800,RGB,JPEG
i - 635.jpeg,sculpture,14514,213,320,RGB,JPEG
i - 911.jpeg,drawings,17416,209,320,RGB,JPEG
i - 913.jpeg,sculpture,37773,432,320,RGB,JPEG
i - 559.jpeg,sculpture,25974,303,320,RGB,JPEG
i - 244.jpeg,drawings,68237,458,320,RGB,JPEG
0213.jpg,painting,11480,290,320,RGB,JPEG
i - 570.jpeg,sculpture,6819,229,320,RGB,JPEG
0547.jpg,painting,10540,290,244,RGB,JPEG
i - 845.jpeg,drawings,36651,480,305,RGB,JPEG
119.jpg,iconography,21122,350,468,RGB,JPEG
0024.jpg,painting,14740,290,356,RGB,JPEG
3389_mainfoto_05.jpg,drawings,17232,290,393,RGB,JPEG
1184.jpg,painting,12352,290,371,RGB,JPEG
i - 350.jpeg,sculpture,45797,480,320,RGB,JPEG
i - 71.jpeg,iconography,29213,250,320,RGB,JPEG
i - 316.jpeg,sculpture,43435,427,320,RGB,JPEG
124.jpg,sculpture,54647,670,459,RGB,JPEG
616.jpg,iconography,83756,306,400,RGB,JPEG
2212_mainfoto_05.jpg,drawings,13982,290,237,RGB,JPEG
i - 1264.jpeg,iconography,18701,320,320,RGB,JPEG
i - 1309.jpeg,sculpture,37292,480,320,RGB,JPEG
i - 1296.jpeg,sculpture,16825,480,319,RGB,JPEG
i - 172.jpeg,drawings,30903,480,320,RGB,JPEG
i - 283.jpeg,drawings,45314,480,320,RGB,JPEG
i - 892.jpeg,drawings,24553,480,279,RGB,JPEG
i - 1522.jpeg,iconography,18828,246,320,RGB,JPEG
i - 991.jpeg,sculpture,8502,186,320,RGB,JPEG
i - 827.jpeg,sculpture,29802,320,320,RGB,JPEG
0624.jpg,painting,14740,290,356,RGB,JPEG
1479.jpg,painting,15099,290,221,RGB,JPEG
i - 263.jpeg,engraving,26006,241,320,RGB,JPEG
i - 1053.jpeg,drawings,44186,474,320,RGB,JPEG
68.jpg,sculpture,135350,478,460,RGB,JPEG
i - 1298.jpeg,sculpture,22825,480,320,RGB,JPEG
i - 457.jpeg,engraving,32584,480,227,RGB,JPEG
i (8).jpeg,sculpture,9608,199,320,RGB,JPEG
i - 251.jpeg,iconography,29952,251,320,RGB,JPEG
66.jpg,engraving,51093,500,345,RGB,JPEG
0781.jpg,painting,18102,290,448,RGB,JPEG
i - 497.jpeg,iconography,20188,409,320,RGB,JPEG
226.jpg,sculpture,306989,600,403,RGB,JPEG
i - 567.jpeg,sculpture,13826,427,320,RGB,JPEG
0661.jpg,painting,18598,290,392,RGB,JPEG
374.jpg,iconography,309852,960,720,RGB,JPEG
i - 83.jpeg,sculpture,16095,390,130,RGB,JPEG
2286.jpg,painting,12445,290,208,RGB,JPEG
i - 960.jpeg,drawings,42830,289,320,RGB,JPEG
339.jpg,engraving,199575,780,614,RGB,JPEG
656.jpg,iconography,84647,565,690,RGB,JPEG
i - 1306.jpeg,sculpture,36892,398,320,RGB,JPEG
0701.jpg,painting,9133,290,223,RGB,JPEG
0995.jpg,painting,13909,290,388,RGB,JPEG
i - 287.jpeg,drawings,21791,220,320,RGB,JPEG
i (59).jpeg,sculpture,31124,257,320,RGB,JPEG
294.jpg,iconography,75218,700,700,RGB,JPEG
i - 1131.jpeg,iconography,19292,320,320,RGB,JPEG
2039.jpg,painting,14272,290,365,RGB,JPEG
i - 801.jpeg,drawings,26473,480,302,RGB,JPEG
i - 1091.jpeg,sculpture,7573,216,320,RGB,JPEG
i - 1541.jpeg,iconography,28396,282,320,RGB,JPEG
i - 164.jpeg,iconography,32822,480,270,RGB,JPEG
1153.jpg,painting,11891,290,361,RGB,JPEG
i - 1095.jpeg,sculpture,35920,480,320,RGB,JPEG
2157.jpg,painting,20327,290,347,RGB,JPEG
i - 871.jpeg,sculpture,40939,457,320,RGB,JPEG
i - 982.jpeg,sculpture,10724,213,320,RGB,JPEG
1086.jpg,painting,11316,290,423,RGB,JPEG
i - 216.jpeg,iconography,27574,427,320,RGB,JPEG
i - 1275.jpeg,iconography,23635,271,320,RGB,JPEG
i - 349.jpeg,iconography,27376,480,320,RGB,JPEG
228.jpg,sculpture,44910,602,746,RGB,JPEG
i - 385.jpeg,engraving,31794,214,320,RGB,JPEG
i - 1067.jpeg,iconography,16955,268,320,RGB,JPEG
i - 934.jpeg,sculpture,16589,230,320,RGB,JPEG
i - 1454.jpeg,sculpture,38027,427,320,RGB,JPEG
0049.jpg,painting,14740,290,356,RGB,JPEG
i - 377.jpeg,iconography,24475,376,320,RGB,JPEG
i - 291.jpeg,sculpture,19236,222,320,RGB,JPEG
i - 212.jpeg,engraving,42360,319,320,RGB,JPEG
i - 663.jpeg,drawings,13905,211,320,RGB,JPEG
1423.jpg,painting,17526,290,376,RGB,JPEG
237.jpg,iconography,148269,353,500,RGB,JPEG
0907.jpg,painting,14845,290,366,RGB,JPEG
i - 416.jpeg,iconography,31864,265,320,RGB,JPEG
0627.jpg,painting,22258,290,368,RGB,JPEG
1676.jpg,painting,19034,290,389,RGB,JPEG
0390.jpg,painting,11693,290,226,RGB,JPEG
1085.jpg,painting,11982,290,150,RGB,JPEG
2212.jpg,painting,18388,290,289,RGB,JPEG
0099.jpg,painting,14740,290,356,RGB,JPEG
i - 542.jpeg,iconography,36853,427,320,RGB,JPEG
i - 69.jpeg,engraving,49927,417,320,RGB,JPEG
2269.jpg,painting,16074,290,330,RGB,JPEG
i - 309.jpeg,sculpture,24652,320,320,RGB,JPEG
157.jpg,iconography,91960,600,340,RGB,JPEG
103.jpg,iconography,62008,682,900,RGB,JPEG
i - 15.jpeg,drawings,15741,248,320,RGB,JPEG
i - 383.jpeg,sculpture,5511,214,320,RGB,JPEG
i - 1055.jpeg,sculpture,38151,480,320,RGB,JPEG
i - 667.jpeg,iconography,26582,427,320,RGB,JPEG
1503.jpg,painting,14646,290,385,RGB,JPEG
i - 583.jpeg,drawings,20683,480,304,RGB,JPEG
0160.jpg,painting,14740,290,356,RGB,JPEG
i - 536.jpeg,sculpture,23217,480,319,RGB,JPEG
2132.jpg,painting,9975,290,375,RGB,JPEG
i - 1149 20.26.19.jpeg,iconography,28905,274,320,RGB,JPEG
i - 10.jpeg,drawings,35336,269,320,RGB,JPEG
i - 1151.jpeg,iconography,22220,264,320,RGB,JPEG
i - 806.jpeg,sculpture,8359,230,320,RGB,JPEG
1394.jpg,painting,16074,290,330,RGB,JPEG
0902.jpg,painting,16032,290,381,RGB,JPEG
i - 47.jpeg,drawings,13110,211,320,RGB,JPEG
i - 486.jpeg,engraving,16306,209,320,RGB,JPEG
i - 811.jpeg,sculpture,22843,387,320,RGB,JPEG
0912.jpg,painting,8282,290,348,RGB,JPEG
i - 345.jpeg,drawings,26394,304,320,RGB,JPEG
i - 700.jpeg,drawings,12742,228,320,RGB,JPEG
124.jpg,iconography,37124,600,301,RGB,JPEG
i - 289.jpeg,sculpture,52372,480,319,RGB,JPEG
i - 1421.jpeg,sculpture,10546,213,320,RGB,JPEG
i - 429.jpeg,sculpture,19222,427,320,RGB,JPEG
0957.jpg,painting,7759,290,424,RGB,JPEG
2246.jpg,painting,7854,290,387,RGB,JPEG
0572.jpg,painting,10540,290,244,RGB,JPEG
i - 239.jpeg,engraving,29352,432,320,RGB,JPEG
0068.jpg,painting,14564,290,361,RGB,JPEG
381.jpg,iconography,518861,420,511,RGB,JPEG
i - 662.jpeg,iconography,15572,240,320,RGB,JPEG
0653.jpg,painting,18520,290,333,RGB,JPEG
i - 747.jpeg,drawings,27971,480,307,RGB,JPEG
202.jpg,sculpture,137306,880,665,RGB,JPEG
667.jpg,iconography,142403,500,500,RGB,JPEG
i - 67.jpeg,drawings,18530,365,320,RGB,JPEG
images (68).jpeg,drawings,6080,194,260,RGB,JPEG
0096.jpg,painting,7854,290,387,RGB,JPEG
i - 823.jpeg,iconography,25734,427,320,RGB,JPEG
i - 1181.jpeg,drawings,24387,216,320,RGB,JPEG
i - 142.jpeg,sculpture,24907,474,320,RGB,JPEG
i - 1104.jpeg,drawings,76508,1000,717,RGB,JPEG
0758.jpg,painting,13512,290,305,RGB,JPEG
1944_mainfoto_05.jpg,iconography,27108,290,375,RGB,JPEG
0423.jpg,painting,17526,290,376,RGB,JPEG
122.jpg,sculpture,27520,445,340,RGB,JPEG
i - 1089.jpeg,sculpture,12284,208,320,RGB,JPEG
i - 494.jpeg,engraving,23451,233,320,RGB,JPEG
1465.jpg,painting,11693,290,226,RGB,JPEG
i - 796.jpeg,drawings,23444,461,320,RGB,JPEG
i - 465.jpeg,iconography,19867,328,320,RGB,JPEG
i - 265.jpeg,engraving,29930,258,320,RGB,JPEG
i - 498.jpeg,drawings,45249,480,305,RGB,JPEG
2012.jpg,painting,12234,290,211,RGB,JPEG
i - 227.jpeg,engraving,12133,230,320,RGB,JPEG
i - 548.jpeg,iconography,29131,231,320,RGB,JPEG
i - 933.jpeg,sculpture,39588,377,320,RGB,JPEG
1562.jpg,painting,9708,290,226,RGB,JPEG
2349.jpg,painting,14740,290,356,RGB,JPEG
i - 414.jpeg,iconography,17377,288,320,RGB,JPEG
193 18.59.20.jpg,iconography,48592,395,500,RGB,JPEG
i - 1085.jpeg,drawings,9884,251,320,RGB,JPEG
i - 220.jpeg,sculpture,10144,372,320,RGB,JPEG
1682.jpg,painting,13377,290,193,RGB,JPEG
i - 1054.jpeg,sculpture,11182,240,320,RGB,JPEG
i - 1186.jpeg,sculpture,18914,233,320,RGB,JPEG
1723.jpg,painting,17526,290,376,RGB,JPEG
0813.jpg,painting,11480,290,320,RGB,JPEG
1038.jpg,painting,11480,290,320,RGB,JPEG
2665_mainfoto_05.jpg,iconography,29855,290,591,RGB,JPEG
i - 356.jpeg,iconography,15018,240,320,RGB,JPEG
i - 278.jpeg,sculpture,19186,400,320,RGB,JPEG
i - 278.jpeg,drawings,46617,476,320,RGB,JPEG
1122.jpg,painting,10540,290,244,RGB,JPEG
i - 671.jpeg,sculpture,11808,231,320,RGB,JPEG
1190.jpg,painting,11693,290,226,RGB,JPEG
i - 1441.jpeg,sculpture,53678,427,320,RGB,JPEG
i - 400.jpeg,sculpture,15788,260,320,RGB,JPEG
i - 1012.jpeg,iconography,24451,278,320,RGB,JPEG
i - 1071.jpeg,drawings,38285,480,308,RGB,JPEG
1797.jpg,painting,10540,290,244,RGB,JPEG
i - 1347.jpeg,sculpture,16746,320,320,RGB,JPEG
i - 378.jpeg,iconography,28220,401,320,RGB,JPEG
365.jpg,engraving,62088,500,316,RGB,JPEG
i - 410.jpeg,sculpture,6848,213,320,RGB,JPEG
0451.jpg,painting,8497,290,196,RGB,JPEG
169.jpg,sculpture,83070,800,600,RGB,JPEG
i - 23.jpeg,sculpture,14490,356,320,RGB,JPEG
i - 824.jpeg,drawings,46658,434,320,RGB,JPEG
0848.jpg,painting,17526,290,376,RGB,JPEG
i - 887.jpeg,drawings,45639,480,303,RGB,JPEG
1443.jpg,painting,14564,290,361,RGB,JPEG
i - 50.jpeg,iconography,15423,390,130,RGB,JPEG
i - 546.jpeg,sculpture,5522,170,320,RGB,JPEG
i - 1015.jpeg,iconography,27550,320,320,RGB,JPEG
1309.jpg,painting,10236,290,336,RGB,JPEG
i - 915.jpeg,sculpture,13362,320,320,RGB,JPEG
382.jpg,iconography,41830,626,800,RGB,JPEG
0941.jpg,painting,12547,290,377,RGB,JPEG
i - 43.jpeg,sculpture,12437,233,320,RGB,JPEG
250.jpg,iconography,129017,507,742,RGB,JPEG
i - 466.jpeg,iconography,22613,281,320,RGB,JPEG
1433.jpg,painting,10516,290,419,RGB,JPEG
i - 1481.jpeg,sculpture,15844,213,320,RGB,JPEG
740.jpg,iconography,79095,590,800,RGB,JPEG
i - 577.jpeg,engraving,51199,480,285,RGB,JPEG
i - 94.jpeg,iconography,23078,240,320,RGB,JPEG
i - 1521.jpeg,iconography,26400,240,320,RGB,JPEG
0880.jpg,painting,18048,290,379,RGB,JPEG
1233.jpg,painting,20683,290,370,RGB,JPEG
i - 1180.jpeg,sculpture,7837,215,320,RGB,JPEG
i - 568.jpeg,iconography,20462,261,320,RGB,JPEG
249.jpg,sculpture,98800,900,675,RGB,JPEG
i - 1141.jpeg,drawings,37957,438,320,RGB,JPEG
1716.jpg,painting,12547,290,377,RGB,JPEG
i - 408.jpeg,engraving,27643,252,320,RGB,JPEG
i - 574.jpeg,drawings,38831,474,320,RGB,JPEG
94.jpg,sculpture,74443,960,640,RGB,JPEG
i - 200.jpeg,iconography,44646,451,320,RGB,JPEG
0328.jpg,painting,15844,290,372,RGB,JPEG
0108.jpg,painting,13512,290,305,RGB,JPEG
1541.jpg,painting,12547,290,377,RGB,JPEG
2197.jpg,painting,10540,290,244,RGB,JPEG
275.jpg,iconography,60257,550,317,RGB,JPEG
i - 443.jpeg,sculpture,52089,426,320,RGB,JPEG
i - 321.jpeg,engraving,47569,415,320,RGB,JPEG
408.jpg,iconography,65776,337,464,RGB,JPEG
2317.jpg,painting,12973,290,360,RGB,JPEG
2106.jpg,painting,25723,290,345,RGB,JPEG
i - 558.jpeg,drawings,10032,215,320,RGB,JPEG
9.jpg,iconography,372446,640,813,RGB,JPEG
485.jpg,iconography,401810,500,726,RGB,JPEG
i - 141.jpeg,engraving,27537,480,320,RGB,JPEG
336.jpg,sculpture,101921,405,600,RGB,JPEG
1683.jpg,painting,10725,290,384,RGB,JPEG
i - 1289.jpeg,iconography,26875,213,320,RGB,JPEG
i - 134.jpeg,drawings,29759,226,320,RGB,JPEG
157.jpg,sculpture,260176,600,450,RGB,JPEG
i - 316.jpeg,drawings,19636,253,320,RGB,JPEG
1007.jpg,painting,10639,290,400,RGB,JPEG
1959_mainfoto_05.jpg,iconography,28816,290,453,RGB,JPEG
i - 351.jpeg,engraving,15097,264,320,RGB,JPEG
0386.jpg,painting,11798,290,386,RGB,JPEG
i - 1200.jpeg,drawings,39628,421,320,RGB,JPEG
i - 559.jpeg,iconography,35549,266,320,RGB,JPEG
612.png,iconography,897355,567,723,RGB,PNG
i - 406.jpeg,iconography,18163,232,320,RGB,JPEG
i - 74.jpeg,sculpture,33342,400,200,RGB,JPEG
i - 1150.jpeg,iconography,25490,259,320,RGB,JPEG
i - 643.jpeg,drawings,15210,219,320,RGB,JPEG
500.jpg,iconography,175573,548,668,RGB,JPEG
i - 901.jpeg,iconography,28459,272,320,RGB,JPEG
619.jpg,iconography,46980,450,556,RGB,JPEG
i - 1254.jpeg,sculpture,15779,213,320,RGB,JPEG
i - 365.jpeg,drawings,6988,129,200,RGB,JPEG
i - 484.jpeg,drawings,47886,480,305,RGB,JPEG
2202.jpg,painting,21212,290,293,RGB,JPEG
i - 1190.jpeg,drawings,9945,251,320,RGB,JPEG
i - 1042.jpeg,drawings,41022,462,320,RGB,JPEG
1379.jpg,painting,16273,290,377,RGB,JPEG
1437.jpg,painting,13429,290,338,RGB,JPEG
156.jpg,engraving,382344,620,413,RGB,JPEG
0799.jpg,painting,14740,290,356,RGB,JPEG
638.jpg,iconography,223726,320,430,RGB,JPEG
i - 430.jpeg,drawings,63224,480,297,RGB,JPEG
3597_mainfoto_05.jpg,sculpture,10578,290,246,RGB,JPEG
2128.jpg,painting,15210,290,407,RGB,JPEG
i - 990.jpeg,drawings,26057,468,320,RGB,JPEG
i - 483.jpeg,drawings,16043,234,320,RGB,JPEG
i - 213.jpeg,iconography,21931,240,320,RGB,JPEG
1143.jpg,painting,14564,290,361,RGB,JPEG
i - 1081.jpeg,iconography,38963,427,320,RGB,JPEG
282.jpg,iconography,455931,696,850,RGB,JPEG
i - 1136.jpeg,iconography,14253,255,320,RGB,JPEG
i - 132.jpeg,iconography,15659,427,320,RGB,JPEG
i - 1539.jpeg,iconography,420253,934,1200,RGB,JPEG
i - 1313.jpeg,iconography,24202,261,320,RGB,JPEG
i - 602.jpeg,drawings,20904,225,320,RGB,JPEG
i - 604.jpeg,iconography,17260,240,320,RGB,JPEG
234.jpeg,sculpture,79166,600,400,RGB,JPEG
i - 1000.jpeg,drawings,40151,431,320,RGB,JPEG
707.jpg,iconography,94269,600,800,RGB,JPEG
1992.jpg,painting,12973,290,360,RGB,JPEG
i - 497.jpeg,sculpture,15887,240,320,RGB,JPEG
0162.jpg,painting,20453,290,372,RGB,JPEG
i - 494.jpeg,iconography,31813,287,320,RGB,JPEG
0308.jpg,painting,12450,290,197,RGB,JPEG
1165.jpg,painting,11693,290,226,RGB,JPEG
122.jpg,iconography,308941,443,579,RGB,JPEG
i - 1022.jpeg,drawings,22098,480,236,RGB,JPEG
i - 677.jpeg,sculpture,32311,417,320,RGB,JPEG
i - 186 20.26.46.jpeg,sculpture,29796,440,320,RGB,JPEG
i - 849.jpeg,iconography,19259,214,320,RGB,JPEG
i - 99.jpeg,drawings,8244,241,320,RGB,JPEG
i - 430.jpeg,iconography,28497,287,320,RGB,JPEG
i - 26.jpeg,drawings,19248,427,320,RGB,JPEG
1435.jpg,painting,8278,290,197,RGB,JPEG
i - 263.jpeg,iconography,14253,427,320,RGB,JPEG
401 20.26.46.jpg,sculpture,82032,791,709,RGB,JPEG
i - 358.jpeg,drawings,22529,236,320,RGB,JPEG
1149.jpg,painting,14740,290,356,RGB,JPEG
i - 430.jpeg,engraving,31453,246,320,RGB,JPEG
1354.jpg,painting,9141,290,200,RGB,JPEG
i - 465.jpeg,engraving,4800,141,110,RGB,JPEG
1342.jpg,painting,12973,290,360,RGB,JPEG
i - 719.jpeg,iconography,20718,240,320,RGB,JPEG
i - 978.jpeg,iconography,21254,427,320,RGB,JPEG
67.jpg,engraving,87431,800,507,RGB,JPEG
i - 99.jpeg,sculpture,19808,480,320,RGB,JPEG
0398.jpg,painting,17526,290,376,RGB,JPEG
345 18.59.45.jpg,sculpture,32032,350,526,RGB,JPEG
i - 1357.jpeg,iconography,12744,240,320,RGB,JPEG
352.jpeg,engraving,185994,555,898,RGB,JPEG
i - 12.jpeg,drawings,41757,404,320,RGB,JPEG
0447.jpg,painting,10540,290,244,RGB,JPEG
1838.jpg,painting,11480,290,320,RGB,JPEG
1690.jpg,painting,11693,290,226,RGB,JPEG
0866.jpg,painting,12547,290,377,RGB,JPEG
32.jpg,sculpture,27408,619,349,RGB,JPEG
1866.jpg,painting,12547,290,377,RGB,JPEG
i - 1354.jpeg,iconography,18230,320,320,RGB,JPEG
124.jpg,engraving,150630,694,1024,RGB,JPEG
i - 1506.jpeg,sculpture,41600,480,270,RGB,JPEG
1774.jpg,painting,14740,290,356,RGB,JPEG
i - 720.jpeg,sculpture,7801,201,320,RGB,JPEG
i - 1246.jpeg,sculpture,7034,320,320,RGB,JPEG
i - 562.jpeg,iconography,24987,427,320,RGB,JPEG
i - 979.jpeg,sculpture,40874,427,320,RGB,JPEG
1744.jpg,painting,16074,290,330,RGB,JPEG
i - 248.jpeg,sculpture,18075,213,320,RGB,JPEG
images (10).jpeg,drawings,10248,257,196,RGB,JPEG
i - 1508.jpeg,iconography,27115,427,320,RGB,JPEG
1752.jpg,painting,9764,290,160,RGB,JPEG
i - 990.jpeg,sculpture,29681,427,320,RGB,JPEG
i - 969.jpeg,sculpture,12063,222,320,RGB,JPEG
0086.jpg,painting,22727,290,350,RGB,JPEG
i - 626.jpeg,sculpture,6763,256,320,RGB,JPEG
i - 732.jpeg,drawings,8156,234,320,RGB,JPEG
i - 936.jpeg,sculpture,29619,320,320,RGB,JPEG
0797.jpg,painting,10540,290,244,RGB,JPEG
i - 336.jpeg,engraving,13124,203,320,RGB,JPEG
i - 591.jpeg,sculpture,11332,204,320,RGB,JPEG
0893.jpg,painting,14564,290,361,RGB,JPEG
306.jpg,iconography,112704,486,672,RGB,JPEG
61.jpeg,sculpture,28417,600,400,RGB,JPEG
38.jpg,sculpture,353268,900,600,RGB,JPEG
i - 1343.jpeg,iconography,18149,231,320,RGB,JPEG
i - 1172.jpeg,iconography,39717,427,320,RGB,JPEG
153 18.59.20.jpg,iconography,242708,653,800,RGB,JPEG
i - 634.jpeg,iconography,31469,300,320,RGB,JPEG
0881.jpg,painting,13721,290,370,RGB,JPEG
0668.jpg,painting,14564,290,361,RGB,JPEG
1199.jpg,painting,14740,290,356,RGB,JPEG
images (40).jpeg,drawings,8480,307,164,RGB,JPEG
i - 58.jpeg,engraving,20636,248,320,RGB,JPEG
0746.jpg,painting,7854,290,387,RGB,JPEG
i - 133.jpeg,engraving,14066,233,320,RGB,JPEG
0819.jpg,painting,16074,290,330,RGB,JPEG
i - 217.jpeg,drawings,18287,206,320,RGB,JPEG
0109.jpg,painting,11042,290,360,RGB,JPEG
0698.jpg,painting,17526,290,376,RGB,JPEG
0920.jpg,painting,13909,290,388,RGB,JPEG
i - 90.jpeg,sculpture,20680,402,320,RGB,JPEG
i - 1114.jpeg,iconography,19110,240,320,RGB,JPEG
i - 645.jpeg,iconography,14409,240,320,RGB,JPEG
162.jpg,sculpture,117482,580,435,RGB,JPEG
i - 788.jpeg,sculpture,35871,480,320,RGB,JPEG
0932.jpg,painting,17743,290,430,RGB,JPEG
340.jpg,engraving,177418,590,888,RGB,JPEG
2262.jpg,painting,18365,290,390,RGB,JPEG
1087.jpg,painting,20385,290,391,RGB,JPEG
i - 1137.jpeg,drawings,229231,1024,768,RGB,JPEG
2.jpg,engraving,195045,422,600,RGB,JPEG
1568.jpg,painting,14564,290,361,RGB,JPEG
i (99).jpeg,sculpture,32745,480,317,RGB,JPEG
i - 447.jpeg,iconography,15166,240,320,RGB,JPEG
i - 199.jpeg,sculpture,7553,187,320,RGB,JPEG
0255.jpg,painting,9745,290,232,RGB,JPEG
0592.jpg,painting,12973,290,360,RGB,JPEG
i - 74.jpeg,iconography,18748,276,320,RGB,JPEG
i - 993 20.26.47.jpeg,sculpture,38759,480,319,RGB,JPEG
i - 701.jpeg,drawings,12027,254,320,RGB,JPEG
i - 219.jpeg,engraving,49143,368,320,RGB,JPEG
135.jpg,iconography,112467,467,640,RGB,JPEG
366.jpg,iconography,218052,640,909,RGB,JPEG
272.jpg,sculpture,220320,600,904,RGB,JPEG
2032.jpg,painting,15619,290,376,RGB,JPEG
3428_mainfoto_05.jpg,drawings,27362,290,364,RGB,JPEG
i - 603.jpeg,iconography,35786,290,320,RGB,JPEG
i - 311.jpeg,iconography,20050,480,187,RGB,JPEG
1794.jpg,painting,16074,290,330,RGB,JPEG
i - 669.jpeg,drawings,9508,213,320,RGB,JPEG
1542.jpg,painting,12973,290,360,RGB,JPEG
i - 102.jpeg,iconography,32962,263,320,RGB,JPEG
i - 1340.jpeg,iconography,17375,240,320,RGB,JPEG
i - 903.jpeg,sculpture,14620,480,320,RGB,JPEG
2211_mainfoto_05.jpg,drawings,12964,290,236,RGB,JPEG
i - 79.jpeg,sculpture,27962,480,305,RGB,JPEG
0738.jpg,painting,11480,290,320,RGB,JPEG
i - 397.jpeg,iconography,16525,238,320,RGB,JPEG
0426.jpg,painting,16864,290,197,RGB,JPEG
i - 893.jpeg,sculpture,13325,444,320,RGB,JPEG
0749.jpg,painting,14740,290,356,RGB,JPEG
